fecha_num,Hum_missForest,Tem_missForest
44617.92361111111,84.55540476190477,13.946916100196095
44617.9375,84.13169823232322,14.306127878219897
44617.95138888889,83.91503156565655,14.503741767108783
44617.96527777778,83.91503156565655,14.503741767108783
44617.979166666664,83.91503156565655,14.503741767108783
44617.993055555555,83.91503156565655,14.503741767108783
44618.006944444445,58,18.5
44618.020833333336,55,19
44618.03472222222,60,18.388888888888886
44618.04861111111,83.91503156565655,14.503741767108783
44618.0625,85.14514285714286,14.359885544640536
44618.07638888889,82.70714858117161,14.90549745149911
44618.09027777778,53,20.777777777777782
44618.104166666664,52,21.38888888888889
44618.118055555555,47,23.111111111111107
44618.131944444445,45,23.111111111111107
44618.145833333336,45,23.22222222222222
44618.15972222222,43,24
44618.17361111111,42,24.499999999999996
44618.1875,44,23.61111111111111
44618.20138888889,42,24.777777777777775
44618.21527777778,40,25.611111111111107
44618.229166666664,34,25.38888888888889
44618.243055555555,30,25.611111111111107
44618.256944444445,33,24.388888888888893
44618.270833333336,42,23.111111111111107
44618.28472222222,52,20.888888888888886
44618.29861111111,54,20.500000000000004
44618.3125,55,20.11111111111111
44618.32638888889,59,19.72222222222222
44618.34027777778,60,19.111111111111114
44618.354166666664,62,18.77777777777778
44618.368055555555,63,18.388888888888886
44618.381944444445,65,18.22222222222222
44618.395833333336,67,17.88888888888889
44618.40972222222,69,17.38888888888889
44618.42361111111,71,16.88888888888889
44618.4375,72,16.77777777777778
44618.45138888889,73,16.38888888888889
44618.46527777778,76,16.22222222222222
44618.479166666664,79,15.777777777777779
44618.493055555555,80,15.38888888888889
44618.506944444445,82,15.11111111111111
44618.520833333336,84,14.88888888888889
44618.53472222222,84,14.5
44618.54861111111,85,14.11111111111111
44618.5625,86,14.11111111111111
44618.57638888889,86,13.499999999999998
44618.59027777778,87,13.61111111111111
44618.604166666664,88,13.277777777777779
44618.618055555555,87,13
44618.631944444445,88,12.611111111111112
44618.645833333336,88,12.277777777777779
44618.65972222222,89,12.111111111111109
44618.67361111111,90,12.111111111111109
44618.6875,91,12
44618.70138888889,92,11.722222222222221
44618.71527777778,93,11.722222222222221
44618.729166666664,91,11.88888888888889
44618.743055555555,90,11.61111111111111
44618.756944444445,91,11.61111111111111
44618.770833333336,90,11.38888888888889
44618.78472222222,90,11.277777777777777
44618.79861111111,90,11.11111111111111
44618.8125,91,11.277777777777777
44618.82638888889,91,10.999999999999998
44618.84027777778,92,11.11111111111111
44618.854166666664,91,11.11111111111111
44618.868055555555,90,11.11111111111111
44618.881944444445,83.22714560439559,14.630645105820106
44618.895833333336,84.3825,14.53200473007175
44618.90972222222,83.11714560439559,14.649533994708996
44618.92361111111,76,14.11111111111111
44618.9375,77,14.5
44618.95138888889,82.2171485811716,14.942761461840625
44618.96527777778,82.2171485811716,14.942761461840625
44618.979166666664,81.9971485811716,14.947761461840626
44618.993055555555,54,19.27777777777778
44619.006944444445,52,21.22222222222222
44619.020833333336,53,21
44619.03472222222,55,21
44619.04861111111,59,20.38888888888889
44619.0625,62,19.72222222222222
44619.07638888889,62,19.777777777777775
44619.09027777778,64,19
44619.104166666664,63,19.61111111111111
44619.118055555555,62,20.11111111111111
44619.131944444445,49,23.88888888888889
44619.145833333336,49,23.22222222222222
44619.15972222222,46,24.111111111111114
44619.17361111111,42,26
44619.1875,48,23.388888888888886
44619.20138888889,46,24.27777777777778
44619.21527777778,44,24.27777777777778
44619.229166666664,52,21.888888888888893
44619.243055555555,52,21.22222222222222
44619.256944444445,53,21
44619.270833333336,56,20.500000000000004
44619.28472222222,58,20.222222222222225
44619.29861111111,60,20
44619.3125,63,19.61111111111111
44619.32638888889,65,19.27777777777778
44619.34027777778,65,19
44619.354166666664,68,18.61111111111111
44619.368055555555,70,18.277777777777782
44619.381944444445,71,18.111111111111107
44619.395833333336,72,17.77777777777778
44619.40972222222,73,17.61111111111111
44619.42361111111,74,17.5
44619.4375,75,17.5
44619.45138888889,77,17.38888888888889
44619.46527777778,78,17.27777777777778
44619.479166666664,78,17.11111111111111
44619.493055555555,80,16.88888888888889
44619.506944444445,80,16.77777777777778
44619.520833333336,81,16.72222222222222
44619.53472222222,82,16.38888888888889
44619.54861111111,82,16.11111111111111
44619.5625,84,16
44619.57638888889,87,15.722222222222221
44619.59027777778,87,15.722222222222221
44619.604166666664,87,15.277777777777779
44619.618055555555,88,15.277777777777779
44619.631944444445,88,15.61111111111111
44619.645833333336,87,15.277777777777779
44619.65972222222,89,14.88888888888889
44619.67361111111,91,14.88888888888889
44619.6875,91,14.777777777777779
44619.70138888889,91,14.777777777777779
44619.71527777778,91,14.277777777777779
44619.729166666664,91,14.277777777777779
44619.743055555555,92,14.11111111111111
44619.756944444445,92,14.11111111111111
44619.770833333336,92,14.11111111111111
44619.78472222222,92,14.38888888888889
44619.79861111111,92,14.777777777777779
44619.8125,89,15
44619.82638888889,89,14.38888888888889
44619.84027777778,91,14.277777777777779
44619.854166666664,91,14.5
44619.868055555555,91,14.5
44619.881944444445,90,14.722222222222221
44619.895833333336,90,14.88888888888889
44619.90972222222,89,15.277777777777779
44619.92361111111,83,15.777777777777779
44619.9375,79,16.27777777777778
44619.95138888889,77,16.5
44619.96527777778,84,15.88888888888889
44619.979166666664,86,16.11111111111111
44619.993055555555,81,16.5
44620.006944444445,82,16.38888888888889
44620.020833333336,84,16.5
44620.03472222222,82,16.38888888888889
44620.04861111111,87,15.777777777777779
44620.0625,88,16
44620.07638888889,87,16
44620.09027777778,88,16.22222222222222
44620.104166666664,85,16.27777777777778
44620.118055555555,86,16.11111111111111
44620.131944444445,86,16
44620.145833333336,88,15.722222222222221
44620.15972222222,91,15.38888888888889
44620.17361111111,91,15.5
44620.1875,90,15.777777777777779
44620.20138888889,89,15.88888888888889
44620.21527777778,88,15.88888888888889
44620.229166666664,89,15.61111111111111
44620.243055555555,89,14.722222222222221
44620.256944444445,87.9670568181818,14.880541570131884
44620.270833333336,86,13.61111111111111
44620.28472222222,85.41070093795096,14.215156258926259
44620.29861111111,83.40202380952381,13.550096604938274
44620.3125,80,12.888888888888891
44620.32638888889,80,12.611111111111112
44620.34027777778,82,12.277777777777779
44620.354166666664,81,12.277777777777779
44620.368055555555,78,12.388888888888888
44620.381944444445,78,12.388888888888888
44620.395833333336,76,12.388888888888888
44620.40972222222,75,12.388888888888888
44620.42361111111,74,12.388888888888888
44620.4375,73,12.388888888888888
44620.45138888889,72,12.388888888888888
44620.46527777778,72,12.277777777777779
44620.479166666664,72,12.277777777777779
44620.493055555555,71,12.222222222222221
44620.506944444445,72,12
44620.520833333336,73,12
44620.53472222222,74,11.777777777777779
44620.54861111111,73,11.777777777777779
44620.5625,73,11.722222222222221
44620.57638888889,71,11.61111111111111
44620.59027777778,70,11.277777777777777
44620.604166666664,70,11.11111111111111
44620.618055555555,71,10.999999999999998
44620.631944444445,72,10.88888888888889
44620.645833333336,72,10.777777777777779
44620.65972222222,72,10.61111111111111
44620.67361111111,73,10.5
44620.6875,73,10.388888888888891
44620.70138888889,74,10.277777777777779
44620.71527777778,74,10.222222222222221
44620.729166666664,73,10.111111111111112
44620.743055555555,73,10.111111111111112
44620.756944444445,73,10
44620.770833333336,72,10
44620.78472222222,92,9.5
44620.79861111111,91,9.277777777777779
44620.8125,91,9.277777777777779
44620.82638888889,81.23184920634918,13.198526212522047
44620.84027777778,90,10
44620.854166666664,83,12.611111111111112
44620.868055555555,72,13.222222222222221
44620.881944444445,73,13.777777777777777
44620.895833333336,63,15
44620.90972222222,79.90050000000001,14.011402328891517
44620.92361111111,56,16.5
44620.9375,56,17.38888888888889
44620.95138888889,48,19.27777777777778
44620.96527777778,52,18.88888888888889
44620.979166666664,46,21.27777777777778
44620.993055555555,44,21.27777777777778
44621.006944444445,45,21.22222222222222
44621.020833333336,47,21.22222222222222
44621.03472222222,45,21.999999999999996
44621.04861111111,49,21.38888888888889
44621.0625,45,22.61111111111111
44621.07638888889,45,22.88888888888889
44621.09027777778,41,24.777777777777775
44621.104166666664,38,25.611111111111107
44621.118055555555,40,24.88888888888889
44621.131944444445,38,25.72222222222222
44621.145833333336,38,25.777777777777782
44621.15972222222,38,25.222222222222225
44621.17361111111,39,25.222222222222225
44621.1875,36,25.222222222222225
44621.20138888889,41,24.111111111111114
44621.21527777778,42,23.72222222222222
44621.229166666664,47,21.722222222222218
44621.243055555555,80.28066666666666,15.111809736298932
44621.256944444445,52,20.72222222222222
44621.270833333336,54,20.11111111111111
44621.28472222222,58,19.27777777777778
44621.29861111111,62,18.88888888888889
44621.3125,63,18.5
44621.32638888889,64,18.111111111111107
44621.34027777778,66,17.5
44621.354166666664,67,17.5
44621.368055555555,68,17.27777777777778
44621.381944444445,69,17
44621.395833333336,72,16.38888888888889
44621.40972222222,78,15.88888888888889
44621.42361111111,80,15.38888888888889
44621.4375,81,15.222222222222221
44621.45138888889,81,15
44621.46527777778,83,14.777777777777779
44621.479166666664,83,14.11111111111111
44621.493055555555,84,14.11111111111111
44621.506944444445,85,13.88888888888889
44621.520833333336,86,13.88888888888889
44621.53472222222,86,13.61111111111111
44621.54861111111,86,13.38888888888889
44621.5625,88,12.888888888888891
44621.57638888889,87,12.611111111111112
44621.59027777778,88,12.388888888888888
44621.604166666664,88,12.277777777777779
44621.618055555555,88,12.277777777777779
44621.631944444445,88,12.111111111111109
44621.645833333336,89,11.777777777777779
44621.65972222222,90,11.38888888888889
44621.67361111111,90,11.277777777777777
44621.6875,91,10.999999999999998
44621.70138888889,91,11.11111111111111
44621.71527777778,92,10.88888888888889
44621.729166666664,92,10.999999999999998
44621.743055555555,91,10.61111111111111
44621.756944444445,85.61407269484904,13.722676123373432
44621.770833333336,91,10.722222222222221
44621.78472222222,91,10.61111111111111
44621.79861111111,91,10.388888888888891
44621.8125,91,10.388888888888891
44621.82638888889,85.61407269484904,13.722676123373432
44621.84027777778,85.61407269484904,13.722676123373432
44621.854166666664,85.61407269484904,13.722676123373432
44621.868055555555,85.61407269484904,13.722676123373432
44621.881944444445,85.61407269484904,13.722676123373432
44621.895833333336,84.92804151325713,14.02761863907698
44621.90972222222,84.92804151325713,14.02761863907698
44621.92361111111,84.92804151325713,14.02761863907698
44621.9375,84.92804151325713,14.02761863907698
44621.95138888889,58,18.5
44621.96527777778,55,19
44621.979166666664,60,18.388888888888886
44621.993055555555,80.2701485811716,14.962354551113751
44622.006944444445,81.68017063492063,14.943455205979893
44622.020833333336,81.68,15.006232983757668
44622.03472222222,53,20.777777777777782
44622.04861111111,52,21.38888888888889
44622.0625,47,23.111111111111107
44622.07638888889,45,23.111111111111107
44622.09027777778,45,23.22222222222222
44622.104166666664,43,24
44622.118055555555,42,24.499999999999996
44622.131944444445,44,23.61111111111111
44622.145833333336,42,24.777777777777775
44622.15972222222,40,25.611111111111107
44622.17361111111,34,25.38888888888889
44622.1875,30,25.611111111111107
44622.20138888889,33,24.388888888888893
44622.21527777778,42,23.111111111111107
44622.229166666664,52,20.888888888888886
44622.243055555555,54,20.500000000000004
44622.256944444445,55,20.11111111111111
44622.270833333336,59,19.72222222222222
44622.28472222222,60,19.111111111111114
44622.29861111111,62,18.77777777777778
44622.3125,63,18.388888888888886
44622.32638888889,65,18.22222222222222
44622.34027777778,67,17.88888888888889
44622.354166666664,69,17.38888888888889
44622.368055555555,71,16.88888888888889
44622.381944444445,72,16.77777777777778
44622.395833333336,73,16.38888888888889
44622.40972222222,76,16.22222222222222
44622.42361111111,79,15.777777777777779
44622.4375,80,15.38888888888889
44622.45138888889,82,15.11111111111111
44622.46527777778,84,14.88888888888889
44622.479166666664,84,14.5
44622.493055555555,85,14.11111111111111
44622.506944444445,86,14.11111111111111
44622.520833333336,86,13.499999999999998
44622.53472222222,87,13.61111111111111
44622.54861111111,88,13.277777777777779
44622.5625,87,13
44622.57638888889,88,12.611111111111112
44622.59027777778,88,12.277777777777779
44622.604166666664,89,12.111111111111109
44622.618055555555,90,12.111111111111109
44622.631944444445,91,12
44622.645833333336,92,11.722222222222221
44622.65972222222,93,11.722222222222221
44622.67361111111,91,11.88888888888889
44622.6875,90,11.61111111111111
44622.70138888889,91,11.61111111111111
44622.71527777778,90,11.38888888888889
44622.729166666664,90,11.277777777777777
44622.743055555555,90,11.11111111111111
44622.756944444445,91,11.277777777777777
44622.770833333336,91,10.999999999999998
44622.78472222222,92,11.11111111111111
44622.79861111111,91,11.11111111111111
44622.8125,90,11.11111111111111
44622.82638888889,83.4921807081807,14.532951631393296
44622.84027777778,83.3821807081807,14.532951631393296
44622.854166666664,81.05996604148906,14.983453461199288
44622.868055555555,76,14.11111111111111
44622.881944444445,77,14.5
44622.895833333336,81.03996604148907,14.987342350088177
44622.90972222222,81.03996604148907,14.987342350088177
44622.92361111111,81.48017063492063,14.987342350088177
44622.9375,54,19.27777777777778
44622.95138888889,52,21.22222222222222
44622.96527777778,53,21
44622.979166666664,55,21
44622.993055555555,59,20.38888888888889
44623.006944444445,62,19.72222222222222
44623.020833333336,62,19.777777777777775
44623.03472222222,64,19
44623.04861111111,63,19.61111111111111
44623.0625,62,20.11111111111111
44623.07638888889,49,23.88888888888889
44623.09027777778,49,23.22222222222222
44623.104166666664,46,24.111111111111114
44623.118055555555,42,26
44623.131944444445,48,23.388888888888886
44623.145833333336,46,24.27777777777778
44623.15972222222,44,24.27777777777778
44623.17361111111,52,21.888888888888893
44623.1875,52,21.22222222222222
44623.20138888889,53,21
44623.21527777778,56,20.500000000000004
44623.229166666664,58,20.222222222222225
44623.243055555555,60,20
44623.256944444445,63,19.61111111111111
44623.270833333336,65,19.27777777777778
44623.28472222222,65,19
44623.29861111111,68,18.61111111111111
44623.3125,70,18.277777777777782
44623.32638888889,71,18.111111111111107
44623.34027777778,72,17.77777777777778
44623.354166666664,73,17.61111111111111
44623.368055555555,74,17.5
44623.381944444445,75,17.5
44623.395833333336,77,17.38888888888889
44623.40972222222,78,17.27777777777778
44623.42361111111,78,17.11111111111111
44623.4375,80,16.88888888888889
44623.45138888889,80,16.77777777777778
44623.46527777778,81,16.72222222222222
44623.479166666664,82,16.38888888888889
44623.493055555555,82,16.11111111111111
44623.506944444445,84,16
44623.520833333336,87,15.722222222222221
44623.53472222222,87,15.722222222222221
44623.54861111111,87,15.277777777777779
44623.5625,88,15.5
44623.57638888889,88,15.61111111111111
44623.59027777778,87,15.277777777777779
44623.604166666664,89,14.88888888888889
44623.618055555555,91,14.88888888888889
44623.631944444445,91,14.777777777777779
44623.645833333336,91,14.777777777777779
44623.65972222222,91,14.277777777777779
44623.67361111111,91,14.277777777777779
44623.6875,92,14.11111111111111
44623.70138888889,92,14.11111111111111
44623.71527777778,92,14.11111111111111
44623.729166666664,92,14.38888888888889
44623.743055555555,92,14.777777777777779
44623.756944444445,89,15
44623.770833333336,89,14.38888888888889
44623.78472222222,91,14.277777777777779
44623.79861111111,91,14.5
44623.8125,91,14.5
44623.82638888889,90,14.722222222222221
44623.84027777778,90,14.88888888888889
44623.854166666664,89,15.277777777777779
44623.868055555555,83,15.777777777777779
44623.881944444445,79,16.27777777777778
44623.895833333336,77,16.5
44623.90972222222,84,15.88888888888889
44623.92361111111,86,16.11111111111111
44623.9375,81,16.5
44623.95138888889,82,16.38888888888889
44623.96527777778,84,16.5
44623.979166666664,82,16.38888888888889
44623.993055555555,87,15.777777777777779
44624.006944444445,88,16
44624.020833333336,87,16
44624.03472222222,88,16.22222222222222
44624.04861111111,85,16.27777777777778
44624.0625,86,16.11111111111111
44624.07638888889,86,16
44624.09027777778,88,15.722222222222221
44624.104166666664,91,15.38888888888889
44624.118055555555,91,15.5
44624.131944444445,90,15.777777777777779
44624.145833333336,89,15.88888888888889
44624.15972222222,88,15.88888888888889
44624.17361111111,89,15.61111111111111
44624.1875,89,14.722222222222221
44624.20138888889,88.91861904761905,14.665108688200865
44624.21527777778,86,13.61111111111111
44624.229166666664,88.39980542986424,14.355689324792412
44624.243055555555,85.7977142857143,13.756783535643985
44624.256944444445,80,12.888888888888891
44624.270833333336,80,12.611111111111112
44624.28472222222,82,12.277777777777779
44624.29861111111,81,12.277777777777779
44624.3125,78,12.388888888888888
44624.32638888889,78,12.388888888888888
44624.34027777778,76,12.388888888888888
44624.354166666664,75,12.388888888888888
44624.368055555555,74,12.388888888888888
44624.381944444445,73,12.388888888888888
44624.395833333336,72,12.388888888888888
44624.40972222222,72,12.277777777777779
44624.42361111111,72,12.277777777777779
44624.4375,71,12.222222222222221
44624.45138888889,72,12
44624.46527777778,73,12
44624.479166666664,74,11.777777777777779
44624.493055555555,73,11.777777777777779
44624.506944444445,73,11.722222222222221
44624.520833333336,71,11.61111111111111
44624.53472222222,70,11.277777777777777
44624.54861111111,70,11.11111111111111
44624.5625,71,10.999999999999998
44624.57638888889,72,10.88888888888889
44624.59027777778,72,10.777777777777779
44624.604166666664,72,10.61111111111111
44624.618055555555,73,10.5
44624.631944444445,73,10.388888888888891
44624.645833333336,74,10.277777777777779
44624.65972222222,74,10.222222222222221
44624.67361111111,73,10.111111111111112
44624.6875,73,10.111111111111112
44624.70138888889,73,10
44624.71527777778,72,10
44624.729166666664,91,10.61111111111111
44624.743055555555,85.78277777777777,13.27656131342177
44624.756944444445,91,10.722222222222221
44624.770833333336,91,10.61111111111111
44624.78472222222,91,10.388888888888891
44624.79861111111,91,10.388888888888891
44624.8125,84.8068686868687,13.297078396911735
44624.82638888889,84.6668686868687,13.297078396911735
44624.84027777778,84.6068686868687,13.319393211726549
44624.854166666664,83.3068686868687,13.342720533509716
44624.868055555555,84.47194444444445,13.730041160521978
44624.881944444445,84.33383333333332,14.27522634570716
44624.895833333336,82.27625689588189,14.33702972097108
44624.90972222222,82.00625689588189,14.361844535785895
44624.92361111111,82.00625689588189,14.361844535785895
44624.9375,58,18.5
44624.95138888889,55,19
44624.96527777778,60,18.388888888888886
44624.979166666664,82.00625689588189,14.360733424674784
44624.993055555555,82.00625689588189,14.360733424674784
44625.006944444445,81.97625689588189,14.440844535785896
44625.020833333336,53,20.777777777777782
44625.03472222222,52,21.38888888888889
44625.04861111111,47,23.111111111111107
44625.0625,45,23.111111111111107
44625.07638888889,45,23.22222222222222
44625.09027777778,43,24
44625.104166666664,42,24.499999999999996
44625.118055555555,44,23.61111111111111
44625.131944444445,42,24.777777777777775
44625.145833333336,40,25.611111111111107
44625.15972222222,34,25.38888888888889
44625.17361111111,30,25.611111111111107
44625.1875,33,24.388888888888893
44625.20138888889,42,23.111111111111107
44625.21527777778,52,20.888888888888886
44625.229166666664,54,20.500000000000004
44625.243055555555,55,20.11111111111111
44625.256944444445,59,19.72222222222222
44625.270833333336,60,19.111111111111114
44625.28472222222,62,18.77777777777778
44625.29861111111,63,18.388888888888886
44625.3125,65,18.22222222222222
44625.32638888889,67,17.88888888888889
44625.34027777778,69,17.38888888888889
44625.354166666664,71,16.88888888888889
44625.368055555555,72,16.77777777777778
44625.381944444445,73,16.38888888888889
44625.395833333336,76,16.22222222222222
44625.40972222222,79,15.777777777777779
44625.42361111111,80,15.38888888888889
44625.4375,82,15.11111111111111
44625.45138888889,84,14.88888888888889
44625.46527777778,84,14.5
44625.479166666664,85,14.11111111111111
44625.493055555555,86,14.11111111111111
44625.506944444445,86,13.499999999999998
44625.520833333336,87,13.61111111111111
44625.53472222222,88,13.277777777777779
44625.54861111111,87,13
44625.5625,88,12.611111111111112
44625.57638888889,88,12.277777777777779
44625.59027777778,89,12.111111111111109
44625.604166666664,90,12.111111111111109
44625.618055555555,91,12
44625.631944444445,92,11.722222222222221
44625.645833333336,93,11.722222222222221
44625.65972222222,91,11.88888888888889
44625.67361111111,90,11.61111111111111
